nodes,techs,carriers,timesteps,flow_out
NLD,ccgt,power,2024-10-10 06:00:00,1.1709109893026474e-06
NLD,ccgt,power,2024-10-10 07:00:00,1.4481038586857883e-06
NLD,ccgt,power,2024-10-10 08:00:00,1.4428646432722812e-06
NLD,ccgt,power,2024-10-10 09:00:00,1.1627284153013567e-06
NLD,ccgt,power,2024-10-10 10:00:00,1.1794247879016008e-06
NLD,ccgt,power,2024-10-10 11:00:00,1.1504456788215397e-06
NLD,ccgt,power,2024-10-10 12:00:00,1.1377792948541379e-06
NLD,ccgt,power,2024-10-10 13:00:00,1.143695770923405e-06
NLD,ccgt,power,2024-10-10 14:00:00,1.1437350194039558e-06
NLD,ccgt,power,2024-10-10 15:00:00,1.1380240709611819e-06
NLD,ccgt,power,2024-10-10 16:00:00,1.1458400638147655e-06
NLD,ccgt,power,2024-10-10 17:00:00,1.181215020766872e-06
NLD,ccgt,power,2024-10-10 18:00:00,1.1550822560355044e-06
NLD,ccgt,power,2024-10-10 19:00:00,2.1844668959319826e-06
NLD,ccgt,power,2024-10-10 20:00:00,3164.677508188916
NLD,ccgt,power,2024-10-10 21:00:00,3117.267302368981
NLD,ccgt,power,2024-10-10 22:00:00,903.0592500459105
NLD,ccgt,power,2024-10-10 23:00:00,1.4922453620827211e-06
NLD,ccgt,power,2024-10-11 00:00:00,1.4808669018786169e-06
NLD,ccgt,power,2024-10-11 01:00:00,1.434890497104685e-06
NLD,ccgt,power,2024-10-11 02:00:00,1.4373028240027104e-06
NLD,ccgt,power,2024-10-11 03:00:00,1.4458754019751763e-06
NLD,ccgt,power,2024-10-11 04:00:00,1.4509568603519743e-06
NLD,ccgt,power,2024-10-11 05:00:00,1.4428840766575208e-06
NLD,ccgt,power,2024-10-11 06:00:00,1.4773428136455801e-06
NLD,ccgt,power,2024-10-11 07:00:00,318.614248732412
NLD,ccgt,power,2024-10-11 08:00:00,819.3180054957282
NLD,ccgt,power,2024-10-11 09:00:00,2.1338271817589356e-06
NLD,ccgt,power,2024-10-11 10:00:00,1.1464815123611713e-06
NLD,ccgt,power,2024-10-11 11:00:00,1.1686194539664877e-06
NLD,ccgt,power,2024-10-11 12:00:00,1.1725751010272607e-06
NLD,ccgt,power,2024-10-11 13:00:00,1.1648422945945364e-06
NLD,ccgt,power,2024-10-11 14:00:00,1.1607632711273415e-06
NLD,ccgt,power,2024-10-11 15:00:00,1.1550841316861809e-06
NLD,ccgt,power,2024-10-11 16:00:00,1.1583462451177735e-06
NLD,ccgt,power,2024-10-11 17:00:00,1.1745285375679322e-06
NLD,ccgt,power,2024-10-11 18:00:00,1.1693795673883454e-06
NLD,ccgt,power,2024-10-11 19:00:00,1.4761984162421334e-06
NLD,ccgt,power,2024-10-11 20:00:00,1.45255961800741e-06
NLD,ccgt,power,2024-10-11 21:00:00,1.4778736032570626e-06
NLD,ccgt,power,2024-10-11 22:00:00,1.1689837990367692e-06
NLD,ccgt,power,2024-10-11 23:00:00,1.1745195957953711e-06
NLD,ccgt,power,2024-10-12 00:00:00,1.1638063080113411e-06
NLD,ccgt,power,2024-10-12 01:00:00,1.1621316464013268e-06
NLD,ccgt,power,2024-10-12 02:00:00,1.163215217205157e-06
NLD,ccgt,power,2024-10-12 03:00:00,1.1633032666296794e-06
NLD,ccgt,power,2024-10-12 04:00:00,1.163421079139644e-06
NLD,ccgt,power,2024-10-12 05:00:00,1.1642664436095846e-06
NLD,ccgt,power,2024-10-12 06:00:00,1.1658870461646233e-06
NLD,ccgt,power,2024-10-12 07:00:00,1.1680285313301437e-06
NLD,ccgt,power,2024-10-12 08:00:00,1.1652387684442725e-06
NLD,ccgt,power,2024-10-12 09:00:00,1.1608083061763821e-06
NLD,ccgt,power,2024-10-12 10:00:00,1.1674427833287173e-06
NLD,ccgt,power,2024-10-12 11:00:00,1.1671567540925054e-06
NLD,ccgt,power,2024-10-12 12:00:00,1.165228945456797e-06
NLD,ccgt,power,2024-10-12 13:00:00,1.164994479147148e-06
NLD,ccgt,power,2024-10-12 14:00:00,1.1651376179119865e-06
NLD,ccgt,power,2024-10-12 15:00:00,1.1640595151136534e-06
NLD,ccgt,power,2024-10-12 16:00:00,1.1648642579208763e-06
NLD,ccgt,power,2024-10-12 17:00:00,1.176888910072913e-06
NLD,ccgt,power,2024-10-12 18:00:00,1.16260479147306e-06
NLD,ccgt,power,2024-10-12 19:00:00,1.430364963013876e-06
NLD,ccgt,power,2024-10-12 20:00:00,1.5005948174903836e-06
NLD,ccgt,power,2024-10-12 21:00:00,1.5091359212042119e-06
NLD,ccgt,power,2024-10-12 22:00:00,1.43724435705604e-06
NLD,ccgt,power,2024-10-12 23:00:00,1.4708450902111867e-06
NLD,ccgt,power,2024-10-13 00:00:00,1.4901070516315984e-06
NLD,ccgt,power,2024-10-13 01:00:00,1.1695308450281744e-06
NLD,ccgt,power,2024-10-13 02:00:00,1.1716504021070696e-06
NLD,ccgt,power,2024-10-13 03:00:00,1.1724574819005828e-06
NLD,ccgt,power,2024-10-13 04:00:00,1.1739460718976184e-06
NLD,ccgt,power,2024-10-13 05:00:00,1.1743941321426662e-06
NLD,ccgt,power,2024-10-13 06:00:00,1.17360567150962e-06
NLD,ccgt,power,2024-10-13 07:00:00,1.172627222697305e-06
NLD,ccgt,power,2024-10-13 08:00:00,1.1688895847864356e-06
NLD,ccgt,power,2024-10-13 09:00:00,1.171826629478524e-06
NLD,ccgt,power,2024-10-13 10:00:00,1.1600574580448823e-06
NLD,ccgt,power,2024-10-13 11:00:00,1.1483534465903241e-06
NLD,ccgt,power,2024-10-13 12:00:00,1.1325041100231905e-06
NLD,ccgt,power,2024-10-13 13:00:00,1.1414469038654442e-06
