timesteps,nodes,techs,source_use_equals
2024-10-06 08:00:00,NLD,solar_pv,0.0181230648252813
2024-10-06 08:00:00,NLD,wind_onshore,0.3034956953221087
2024-10-06 09:00:00,NLD,solar_pv,0.1203681908363576
2024-10-06 09:00:00,NLD,wind_onshore,0.2994814998818561
2024-10-06 10:00:00,NLD,solar_pv,0.2376459221972462
2024-10-06 10:00:00,NLD,wind_onshore,0.2819719726390917
2024-10-06 11:00:00,NLD,solar_pv,0.2993096098480831
2024-10-06 11:00:00,NLD,wind_onshore,0.2494086444960104
2024-10-06 12:00:00,NLD,solar_pv,0.3139257565449969
2024-10-06 12:00:00,NLD,wind_onshore,0.2220720011147934
2024-10-06 13:00:00,NLD,solar_pv,0.3298721135664639
2024-10-06 13:00:00,NLD,wind_onshore,0.2428927374843232
2024-10-06 14:00:00,NLD,solar_pv,0.3289189147242707
2024-10-06 14:00:00,NLD,wind_onshore,0.251465589840839
2024-10-06 15:00:00,NLD,solar_pv,0.3074247335052626
2024-10-06 15:00:00,NLD,wind_onshore,0.179826722325556
2024-10-06 16:00:00,NLD,solar_pv,0.2715646687860359
2024-10-06 16:00:00,NLD,wind_onshore,0.203753339836295
2024-10-06 17:00:00,NLD,solar_pv,0.2106905712208963
2024-10-06 17:00:00,NLD,wind_onshore,0.2608291882001539
2024-10-06 18:00:00,NLD,solar_pv,0.1178907791915528
2024-10-06 18:00:00,NLD,wind_onshore,0.2761327876500276
2024-10-06 19:00:00,NLD,solar_pv,0.0299171221413734
2024-10-06 19:00:00,NLD,wind_onshore,0.2617451969973281
2024-10-06 20:00:00,NLD,solar_pv,0.0055950314672019
2024-10-06 20:00:00,NLD,wind_onshore,0.2616409274596645
2024-10-06 21:00:00,NLD,solar_pv,0.0036433665379352
2024-10-06 21:00:00,NLD,wind_onshore,0.2751933924254633
2024-10-06 22:00:00,NLD,solar_pv,0.0023351431608953
2024-10-06 22:00:00,NLD,wind_onshore,0.2855201965429286
2024-10-06 23:00:00,NLD,solar_pv,0.002457364722072
2024-10-06 23:00:00,NLD,wind_onshore,0.2862914336607029
2024-10-07 00:00:00,NLD,solar_pv,0.0014996391553908
2024-10-07 00:00:00,NLD,wind_onshore,0.2925945605351008
2024-10-07 01:00:00,NLD,solar_pv,0.0005884741834435
2024-10-07 01:00:00,NLD,wind_onshore,0.2858642981345386
2024-10-07 02:00:00,NLD,solar_pv,0.0005626071863691
2024-10-07 02:00:00,NLD,wind_onshore,0.2829842535428014
2024-10-07 03:00:00,NLD,solar_pv,0.0005432069385632
2024-10-07 03:00:00,NLD,wind_onshore,0.2816202977225497
2024-10-07 04:00:00,NLD,solar_pv,0.0003252774882111
2024-10-07 04:00:00,NLD,wind_onshore,0.2700697654692735
2024-10-07 05:00:00,NLD,solar_pv,0.0001345083847871
2024-10-07 05:00:00,NLD,wind_onshore,0.2693974662684107
2024-10-07 06:00:00,NLD,solar_pv,0.000250909871622
2024-10-07 06:00:00,NLD,wind_onshore,0.2915591658436987
2024-10-07 07:00:00,NLD,solar_pv,0.0002347429984505
2024-10-07 07:00:00,NLD,wind_onshore,0.293325507564237
2024-10-07 08:00:00,NLD,solar_pv,0.0115231005217373
2024-10-07 08:00:00,NLD,wind_onshore,0.3060287604587617
2024-10-07 09:00:00,NLD,solar_pv,0.0769911767672979
2024-10-07 09:00:00,NLD,wind_onshore,0.3265866721598517
2024-10-07 10:00:00,NLD,solar_pv,0.1502277589092404
2024-10-07 10:00:00,NLD,wind_onshore,0.346405669693977
2024-10-07 11:00:00,NLD,solar_pv,0.1891200823605186
2024-10-07 11:00:00,NLD,wind_onshore,0.3675909859257329
2024-10-07 12:00:00,NLD,solar_pv,0.2111535904685289
2024-10-07 12:00:00,NLD,wind_onshore,0.3856363713473854
2024-10-07 13:00:00,NLD,solar_pv,0.2204657094153282
2024-10-07 13:00:00,NLD,wind_onshore,0.3867617068456799
2024-10-07 14:00:00,NLD,solar_pv,0.2195959316387001
2024-10-07 14:00:00,NLD,wind_onshore,0.3793267920001454
2024-10-07 15:00:00,NLD,solar_pv,0.2063675493348301
2024-10-07 15:00:00,NLD,wind_onshore,0.3830259371232271
2024-10-07 16:00:00,NLD,solar_pv,0.1756472569342952
2024-10-07 16:00:00,NLD,wind_onshore,0.423128177009809
2024-10-07 17:00:00,NLD,solar_pv,0.1351822200608909
2024-10-07 17:00:00,NLD,wind_onshore,0.4603088401907266
2024-10-07 18:00:00,NLD,solar_pv,0.0771476720995982
2024-10-07 18:00:00,NLD,wind_onshore,0.4487900856088651
2024-10-07 19:00:00,NLD,solar_pv,0.0189643889051276
