nodes,techs,carriers,timesteps,flow_out_inc_eff
NLD,ccgt,power,2024-10-15 04:00:00,2.0395150883091905e-06
NLD,ccgt,power,2024-10-15 05:00:00,2.051943290595029e-06
NLD,ccgt,power,2024-10-15 06:00:00,2.050665513278737e-06
NLD,ccgt,power,2024-10-15 07:00:00,2.561780112800759e-06
NLD,ccgt,power,2024-10-15 08:00:00,2.535651362857355e-06
NLD,ccgt,power,2024-10-15 09:00:00,2.555059580536234e-06
NLD,ccgt,power,2024-10-15 10:00:00,2.05260312989187e-06
NLD,ccgt,power,2024-10-15 11:00:00,2.0634629517759912e-06
NLD,ccgt,power,2024-10-15 12:00:00,2.0422607332429605e-06
NLD,ccgt,power,2024-10-15 13:00:00,2.0384248152099805e-06
NLD,ccgt,power,2024-10-15 14:00:00,2.0414141794693176e-06
NLD,ccgt,power,2024-10-15 15:00:00,2.043799322237725e-06
NLD,ccgt,power,2024-10-15 16:00:00,2.0424802127181778e-06
NLD,ccgt,power,2024-10-15 17:00:00,2.035804200668371e-06
NLD,ccgt,power,2024-10-15 18:00:00,2.5054321019052187e-06
NLD,ccgt,power,2024-10-15 19:00:00,2.5792488029700666e-06
NLD,ccgt,power,2024-10-15 20:00:00,974.2860207559995
NLD,ccgt,power,2024-10-15 21:00:00,2.656942599040598e-06
NLD,ccgt,power,2024-10-15 22:00:00,2.5412630223691078e-06
NLD,ccgt,power,2024-10-15 23:00:00,2.064582416650447e-06
NLD,ccgt,power,2024-10-16 00:00:00,2.0500046364945713e-06
NLD,ccgt,power,2024-10-16 01:00:00,2.0574269744196945e-06
NLD,ccgt,power,2024-10-16 02:00:00,2.042807507580283e-06
NLD,ccgt,power,2024-10-16 03:00:00,2.0415583482944733e-06
NLD,ccgt,power,2024-10-16 04:00:00,2.0400561491182854e-06
NLD,ccgt,power,2024-10-16 05:00:00,2.0410894618811256e-06
NLD,ccgt,power,2024-10-16 06:00:00,2.058821637760824e-06
NLD,ccgt,power,2024-10-16 07:00:00,2.0502890455738797e-06
NLD,ccgt,power,2024-10-16 08:00:00,2.046526685729368e-06
NLD,ccgt,power,2024-10-16 09:00:00,2.045384181918626e-06
NLD,ccgt,power,2024-10-16 10:00:00,2.0466501826008675e-06
NLD,ccgt,power,2024-10-16 11:00:00,2.033023696488987e-06
NLD,ccgt,power,2024-10-16 12:00:00,2.0163014832005817e-06
NLD,ccgt,power,2024-10-16 13:00:00,1.9995671792789105e-06
NLD,ccgt,power,2024-10-16 14:00:00,2.0022920292452555e-06
NLD,ccgt,power,2024-10-16 15:00:00,1.9956251060415277e-06
NLD,ccgt,power,2024-10-16 16:00:00,2.002439654557153e-06
NLD,ccgt,power,2024-10-16 17:00:00,2.065515165908738e-06
NLD,ccgt,power,2024-10-16 18:00:00,2.0293919059204357e-06
NLD,ccgt,power,2024-10-16 19:00:00,3.708967144096599e-06
NLD,ccgt,power,2024-10-16 20:00:00,2854.321335182456
NLD,ccgt,power,2024-10-16 21:00:00,774.8366941152364
NLD,ccgt,power,2024-10-16 22:00:00,2.6318008583212405e-06
NLD,ccgt,power,2024-10-16 23:00:00,2.5451898162884144e-06
NLD,ccgt,power,2024-10-17 00:00:00,2.619796812680957e-06
NLD,ccgt,power,2024-10-17 01:00:00,2.035539179964326e-06
NLD,ccgt,power,2024-10-17 02:00:00,2.053945591222962e-06
NLD,ccgt,power,2024-10-17 03:00:00,2.057323536460085e-06
NLD,ccgt,power,2024-10-17 04:00:00,2.062836495575899e-06
NLD,ccgt,power,2024-10-17 05:00:00,2.068315579856591e-06
NLD,ccgt,power,2024-10-17 06:00:00,2.069104756694505e-06
