nodes,techs,carriers,timesteps,flow_in
NLD,curtailment,power,2024-10-12 06:00:00,8.886306855131632e-06
NLD,curtailment,power,2024-10-12 07:00:00,8.88630579182247e-06
NLD,curtailment,power,2024-10-12 08:00:00,8.886302586251678e-06
NLD,curtailment,power,2024-10-12 09:00:00,8.886300516449449e-06
NLD,curtailment,power,2024-10-12 10:00:00,8.886304300306357e-06
NLD,curtailment,power,2024-10-12 11:00:00,8.886304931951701e-06
NLD,curtailment,power,2024-10-12 12:00:00,8.886303451816242e-06
NLD,curtailment,power,2024-10-12 13:00:00,8.886303232972202e-06
NLD,curtailment,power,2024-10-12 14:00:00,8.8863043531031e-06
NLD,curtailment,power,2024-10-12 15:00:00,8.886306008577469e-06
NLD,curtailment,power,2024-10-12 16:00:00,8.886306343480147e-06
NLD,curtailment,power,2024-10-12 17:00:00,8.886304717990907e-06
NLD,curtailment,power,2024-10-12 18:00:00,8.886111007229934e-06
NLD,curtailment,power,2024-10-12 19:00:00,8.44471608885079e-06
NLD,curtailment,power,2024-10-12 20:00:00,8.444860876730825e-06
NLD,curtailment,power,2024-10-12 21:00:00,8.444859384279264e-06
NLD,curtailment,power,2024-10-12 22:00:00,8.44486977132422e-06
NLD,curtailment,power,2024-10-12 23:00:00,8.444897887766555e-06
NLD,curtailment,power,2024-10-13 00:00:00,8.444929552711526e-06
NLD,curtailment,power,2024-10-13 01:00:00,8.886063933940223e-06
NLD,curtailment,power,2024-10-13 02:00:00,8.886274427640818e-06
NLD,curtailment,power,2024-10-13 03:00:00,8.886279149707306e-06
NLD,curtailment,power,2024-10-13 04:00:00,8.886284541907881e-06
NLD,curtailment,power,2024-10-13 05:00:00,8.886286110208058e-06
NLD,curtailment,power,2024-10-13 06:00:00,8.886283023900807e-06
NLD,curtailment,power,2024-10-13 07:00:00,8.886280987795148e-06
NLD,curtailment,power,2024-10-13 08:00:00,8.886287194012112e-06
NLD,curtailment,power,2024-10-13 09:00:00,8.88630372503519e-06
NLD,curtailment,power,2024-10-13 10:00:00,8.886308224671097e-06
