nodes,techs,carriers,timesteps,capacity_factor
NLD,ccgt,power,2024-01-16 06:00:00,5.746908576672997e-09
NLD,ccgt,power,2024-01-16 07:00:00,0.09989622740635214
NLD,ccgt,power,2024-01-16 08:00:00,0.1408610851871262
NLD,ccgt,power,2024-01-16 09:00:00,1.4860504315280561e-08
NLD,ccgt,power,2024-01-16 10:00:00,5.746705558724388e-09
NLD,ccgt,power,2024-01-16 11:00:00,5.746681072247431e-09
NLD,ccgt,power,2024-01-16 12:00:00,5.746682386545753e-09
NLD,ccgt,power,2024-01-16 13:00:00,5.746682019418812e-09
NLD,ccgt,power,2024-01-16 14:00:00,5.74677209230025e-09
NLD,ccgt,power,2024-01-16 15:00:00,8.28636091077848e-09
NLD,ccgt,power,2024-01-16 16:00:00,6.788087199002808e-09
NLD,ccgt,power,2024-01-16 17:00:00,6.78544973819507e-09
NLD,ccgt,power,2024-01-16 18:00:00,6.786686067870927e-09
NLD,ccgt,power,2024-01-16 19:00:00,6.786648230389572e-09
NLD,ccgt,power,2024-01-16 20:00:00,6.786624131900164e-09
NLD,ccgt,power,2024-01-16 21:00:00,5.746682146282337e-09
NLD,ccgt,power,2024-01-16 22:00:00,5.746683159637043e-09
NLD,ccgt,power,2024-01-16 23:00:00,5.746683345626898e-09
NLD,ccgt,power,2024-01-17 00:00:00,5.746683320265207e-09
NLD,ccgt,power,2024-01-17 01:00:00,5.746683311529401e-09
NLD,ccgt,power,2024-01-17 02:00:00,5.746683309206321e-09
NLD,ccgt,power,2024-01-17 03:00:00,5.746683308437674e-09
NLD,ccgt,power,2024-01-17 04:00:00,5.74668330784501e-09
NLD,ccgt,power,2024-01-17 05:00:00,5.746683306600396e-09
NLD,ccgt,power,2024-01-17 06:00:00,5.746683302980067e-09
NLD,ccgt,power,2024-01-17 07:00:00,5.746683291945064e-09
NLD,ccgt,power,2024-01-17 08:00:00,5.7466832626473244e-09
NLD,ccgt,power,2024-01-17 09:00:00,5.746683231353745e-09
NLD,ccgt,power,2024-01-17 10:00:00,5.746679301139063e-09
NLD,ccgt,power,2024-01-17 11:00:00,5.746683448298045e-09
NLD,ccgt,power,2024-01-17 12:00:00,5.746682935968137e-09
NLD,ccgt,power,2024-01-17 13:00:00,5.7466834522475805e-09
NLD,ccgt,power,2024-01-17 14:00:00,5.7466789372337505e-09
NLD,ccgt,power,2024-01-17 15:00:00,5.74667926765343e-09
NLD,ccgt,power,2024-01-17 16:00:00,5.7466831576440125e-09
NLD,ccgt,power,2024-01-17 17:00:00,5.7466832414414964e-09
NLD,ccgt,power,2024-01-17 18:00:00,5.7466832841964076e-09
NLD,ccgt,power,2024-01-17 19:00:00,5.746683299910912e-09
