nodes,techs,carriers,timesteps,flow_in_inc_eff
NLD,curtailment,power,2024-01-11 16:00:00,0.00010643986808196379
NLD,curtailment,power,2024-01-11 17:00:00,0.00010643992525076126
NLD,curtailment,power,2024-01-11 18:00:00,0.0001064398588382226
NLD,curtailment,power,2024-01-11 19:00:00,0.00010643980102594333
NLD,curtailment,power,2024-01-11 20:00:00,0.00010643967968611626
NLD,curtailment,power,2024-01-11 21:00:00,0.000106439751807446
NLD,curtailment,power,2024-01-11 22:00:00,0.00010644006516775245
NLD,curtailment,power,2024-01-11 23:00:00,0.00010644028904058765
NLD,curtailment,power,2024-01-12 00:00:00,0.00010644043760737673
NLD,curtailment,power,2024-01-12 01:00:00,0.00010644078035873875
NLD,curtailment,power,2024-01-12 02:00:00,0.00010644097401182884
NLD,curtailment,power,2024-01-12 03:00:00,0.0001064410212330072
NLD,curtailment,power,2024-01-12 04:00:00,0.00010644115289593081
NLD,curtailment,power,2024-01-12 05:00:00,0.00010644097445264983
NLD,curtailment,power,2024-01-12 06:00:00,0.00010644038108393455
NLD,curtailment,power,2024-01-12 07:00:00,0.00010643980384408142
NLD,curtailment,power,2024-01-12 08:00:00,0.000106440110695806
NLD,curtailment,power,2024-01-12 09:00:00,0.00010644989981849207
NLD,curtailment,power,2024-01-12 10:00:00,4187.914616897008
NLD,curtailment,power,2024-01-12 11:00:00,5955.478033224641
NLD,curtailment,power,2024-01-12 12:00:00,4608.319931787805
NLD,curtailment,power,2024-01-12 13:00:00,4849.399602513219
NLD,curtailment,power,2024-01-12 14:00:00,2104.788263262006
NLD,curtailment,power,2024-01-12 15:00:00,0.00010644081856928805
NLD,curtailment,power,2024-01-12 16:00:00,0.00010643966953323078
NLD,curtailment,power,2024-01-12 17:00:00,0.00010643963934737696
NLD,curtailment,power,2024-01-12 18:00:00,0.00010643958322673411
NLD,curtailment,power,2024-01-12 19:00:00,0.00010643960299557345
NLD,curtailment,power,2024-01-12 20:00:00,0.00010643968008381202
NLD,curtailment,power,2024-01-12 21:00:00,0.00010643983546232763
NLD,curtailment,power,2024-01-12 22:00:00,0.00010644018789895265
