timesteps,nodes,techs,sink_use_equals
2024-01-17 11:00:00,NLD,demand_power,32181.75
2024-01-17 12:00:00,NLD,demand_power,32213.16666666667
2024-01-17 13:00:00,NLD,demand_power,32375.66666666667
2024-01-17 14:00:00,NLD,demand_power,31638.33333333333
2024-01-17 15:00:00,NLD,demand_power,30873.33333333333
2024-01-17 16:00:00,NLD,demand_power,30909.16666666667
2024-01-17 17:00:00,NLD,demand_power,31420.58333333333
2024-01-17 18:00:00,NLD,demand_power,32881.25
2024-01-17 19:00:00,NLD,demand_power,34267.08333333334
2024-01-17 20:00:00,NLD,demand_power,34881.33333333334
2024-01-17 21:00:00,NLD,demand_power,34031.83333333334
2024-01-17 22:00:00,NLD,demand_power,30768.16666666667
2024-01-17 23:00:00,NLD,demand_power,27641.16666666667
2024-01-18 00:00:00,NLD,demand_power,25666.83333333333
2024-01-18 01:00:00,NLD,demand_power,23995.16666666667
2024-01-18 02:00:00,NLD,demand_power,23175.08333333333
2024-01-18 03:00:00,NLD,demand_power,22681.16666666667
2024-01-18 04:00:00,NLD,demand_power,22688.41666666667
2024-01-18 05:00:00,NLD,demand_power,23165.5
2024-01-18 06:00:00,NLD,demand_power,26073.33333333333
2024-01-18 07:00:00,NLD,demand_power,30192.41666666667
2024-01-18 08:00:00,NLD,demand_power,32305.58333333333
2024-01-18 09:00:00,NLD,demand_power,32377.08333333333
2024-01-18 10:00:00,NLD,demand_power,31821.5
2024-01-18 11:00:00,NLD,demand_power,31155.0
2024-01-18 12:00:00,NLD,demand_power,30900.16666666667
2024-01-18 13:00:00,NLD,demand_power,30963.08333333333
2024-01-18 14:00:00,NLD,demand_power,30808.75
2024-01-18 15:00:00,NLD,demand_power,30457.08333333333
2024-01-18 16:00:00,NLD,demand_power,30703.75
2024-01-18 17:00:00,NLD,demand_power,31072.08333333333
2024-01-18 18:00:00,NLD,demand_power,32393.58333333333
2024-01-18 19:00:00,NLD,demand_power,33580.58333333334
2024-01-18 20:00:00,NLD,demand_power,34250.91666666667
2024-01-18 21:00:00,NLD,demand_power,33353.66666666667
2024-01-18 22:00:00,NLD,demand_power,30278.25
2024-01-18 23:00:00,NLD,demand_power,27333.83333333333
2024-01-19 00:00:00,NLD,demand_power,25769.25
2024-01-19 01:00:00,NLD,demand_power,24156.25
2024-01-19 02:00:00,NLD,demand_power,22992.16666666667
2024-01-19 03:00:00,NLD,demand_power,22775.5
2024-01-19 04:00:00,NLD,demand_power,22669.33333333333
2024-01-19 05:00:00,NLD,demand_power,23045.08333333333
2024-01-19 06:00:00,NLD,demand_power,25980.41666666667
2024-01-19 07:00:00,NLD,demand_power,30190.41666666667
2024-01-19 08:00:00,NLD,demand_power,32383.0
2024-01-19 09:00:00,NLD,demand_power,33356.41666666667
2024-01-19 10:00:00,NLD,demand_power,34183.91666666667
2024-01-19 11:00:00,NLD,demand_power,34615.25
2024-01-19 12:00:00,NLD,demand_power,34864.25
2024-01-19 13:00:00,NLD,demand_power,34830.33333333334
2024-01-19 14:00:00,NLD,demand_power,34154.91666666667
2024-01-19 15:00:00,NLD,demand_power,33275.66666666667
2024-01-19 16:00:00,NLD,demand_power,32740.33333333333
2024-01-19 17:00:00,NLD,demand_power,32818.83333333334
2024-01-19 18:00:00,NLD,demand_power,33757.58333333334
2024-01-19 19:00:00,NLD,demand_power,34576.66666666667
2024-01-19 20:00:00,NLD,demand_power,34646.16666666667
2024-01-19 21:00:00,NLD,demand_power,33501.16666666667
2024-01-19 22:00:00,NLD,demand_power,30642.75
2024-01-19 23:00:00,NLD,demand_power,27973.75
2024-01-20 00:00:00,NLD,demand_power,26384.0
2024-01-20 01:00:00,NLD,demand_power,24499.16666666667
2024-01-20 02:00:00,NLD,demand_power,23109.16666666667
2024-01-20 03:00:00,NLD,demand_power,22355.08333333333
2024-01-20 04:00:00,NLD,demand_power,21897.33333333333
2024-01-20 05:00:00,NLD,demand_power,21900.75
2024-01-20 06:00:00,NLD,demand_power,22535.0
2024-01-20 07:00:00,NLD,demand_power,24039.83333333333
2024-01-20 08:00:00,NLD,demand_power,25789.58333333333
2024-01-20 09:00:00,NLD,demand_power,27864.25
2024-01-20 10:00:00,NLD,demand_power,29037.91666666667
2024-01-20 11:00:00,NLD,demand_power,28733.58333333333
2024-01-20 12:00:00,NLD,demand_power,27956.25
2024-01-20 13:00:00,NLD,demand_power,27754.33333333333
2024-01-20 14:00:00,NLD,demand_power,27696.41666666667
2024-01-20 15:00:00,NLD,demand_power,27099.58333333333
2024-01-20 16:00:00,NLD,demand_power,26849.08333333333
2024-01-20 17:00:00,NLD,demand_power,27524.41666666667
2024-01-20 18:00:00,NLD,demand_power,29157.41666666667
2024-01-20 19:00:00,NLD,demand_power,30494.58333333333
2024-01-20 20:00:00,NLD,demand_power,30909.91666666667
2024-01-20 21:00:00,NLD,demand_power,30735.33333333333
